Image ID,Image name,Annotation status,Points,ASC,AUC,AUS,BRY,CBW,CNCAC,CNTR,CRB,EOBSS,ESS,ESUR,MOB,MOG,SPMSI,WPOT,SC,SHAD,Unc,MAAR,MAECG,MAEFR,MAEN,MAENG,MAENRC,MAFG,MAFR,MAGB,MALCB,MASB,MASG,MASR
3421934,IMG_0044.jpg,Unconfirmed,100,0.000,0.000,1.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,82.000,6.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000
3421933,IMG_0045.jpg,Unconfirmed,100,0.000,4.000,1.000,0.000,0.000,0.000,51.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,7.000,1.000,29.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000
3421931,IMG_0046.jpg,Unconfirmed,100,0.000,3.000,2.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,1.000,0.000,0.000,2.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,2.000,18.000,56.000,0.000,0.000,0.000,1.000,0.000,0.000,11.000
3421930,IMG_0047.jpg,Unconfirmed,100,0.000,5.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,29.000,15.000,45.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
3421929,IMG_0048.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.000,61.000,12.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3421927,IMG_0049.jpg,Unconfirmed,100,0.000,2.000,2.000,0.000,0.000,0.000,16.000,0.000,0.000,0.000,4.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.000,10.000,44.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3421925,IMG_0051.jpg,Unconfirmed,100,0.000,1.000,4.000,0.000,0.000,1.000,40.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,42.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000
3421924,IMG_0052.jpg,Unconfirmed,100,0.000,0.000,1.000,0.000,0.000,0.000,35.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,48.000,9.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
3421923,IMG_0053.jpg,Unconfirmed,100,0.000,6.000,2.000,0.000,0.000,0.000,13.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,57.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000
3421922,IMG_0054.jpg,Unconfirmed,100,0.000,2.000,0.000,0.000,0.000,0.000,17.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,3.000,0.000,0.000,0.000,0.000,3.000,71.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3421919,IMG_0055.jpg,Unconfirmed,100,0.000,1.000,1.000,0.000,0.000,0.000,70.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,16.000,2.000,2.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
3421918,IMG_0056.jpg,Unconfirmed,100,0.000,1.000,5.000,0.000,0.000,0.000,65.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,16.000,0.000,9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3421916,IMG_0057.jpg,Unconfirmed,100,0.000,0.000,5.000,0.000,0.000,1.000,58.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,1.000,0.000,0.000,0.000,0.000,11.000,18.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
3421915,IMG_0058.jpg,Unconfirmed,100,0.000,0.000,1.000,0.000,0.000,0.000,37.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,38.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
3421913,IMG_0059.jpg,Unconfirmed,100,0.000,0.000,1.000,0.000,0.000,0.000,13.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,48.000,27.000,8.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
3421911,IMG_0060.jpg,Unconfirmed,100,0.000,1.000,1.000,0.000,0.000,0.000,26.000,0.000,0.000,0.000,2.000,0.000,0.000,9.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,49.000,7.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
