Name,Date,region,site,reef name,reef area,understory,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments
IMG_9831_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,vertical,no,45,-44.80003212,-65.70071164,5.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9832_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,vertical,no,45,-44.80004003,-65.70071463,5.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9833_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,vertical,no,45,-44.80005523,-65.70071548,5.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9834_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,vertical,no,45,-44.80006454,-65.70072021,5.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9835_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,vertical,no,45,-44.80006529,-65.70071803,5.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9836.jpg,2022-10-12,Isla de los Estados,Isla de los Estados,Hoppner II,horizontal,no,45,-54.77282247,-64.41245843,6,Canon EOS REBEL SL1,Gonzalo Bravo/Maria Bagur,good,two,25x25cm,no,Costa Patagonica
IMG_9836_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,vertical,no,45,-44.80007983,-65.70072394,5.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9837.jpg,2022-10-12,Isla de los Estados,Isla de los Estados,Hoppner II,horizontal,no,45,-54.77282247,-64.41245843,6,Canon EOS REBEL SL1,Gonzalo Bravo/Maria Bagur,good,two,25x25cm,no,Costa Patagonica
IMG_9837_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,vertical,no,45,-44.80008516,-65.70072445,5.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9838.jpg,2022-10-12,Isla de los Estados,Isla de los Estados,Hoppner II,horizontal,no,45,-54.77282247,-64.41245843,6,Canon EOS REBEL SL1,Gonzalo Bravo/Maria Bagur,good,two,25x25cm,no,Costa Patagonica
IMG_9838_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,vertical,no,45,-44.80009186,-65.70072985,5.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9839.jpg,2022-10-12,Isla de los Estados,Isla de los Estados,Hoppner II,horizontal,no,45,-54.77282247,-64.41245843,6,Canon EOS REBEL SL1,Gonzalo Bravo/Maria Bagur,good,two,25x25cm,no,Costa Patagonica
IMG_9839_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,vertical,no,45,-44.80009535,-65.700736,5.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9840.jpg,2022-10-12,Isla de los Estados,Isla de los Estados,Hoppner II,horizontal,no,45,-54.77282247,-64.41245843,6,Canon EOS REBEL SL1,Gonzalo Bravo/Maria Bagur,good,two,25x25cm,no,Costa Patagonica
IMG_9840_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,vertical,no,45,-44.80010091,-65.70073228,5.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9841.jpg,2022-10-12,Isla de los Estados,Isla de los Estados,Hoppner II,horizontal,no,45,-54.77282247,-64.41245843,6,Canon EOS REBEL SL1,Gonzalo Bravo/Maria Bagur,good,two,25x25cm,no,Costa Patagonica
IMG_9841_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,horizontal,no,45,-44.80014282,-65.70069289,4.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9842.jpg,2022-10-12,Isla de los Estados,Isla de los Estados,Hoppner II,horizontal,no,45,-54.77282247,-64.41245843,6,Canon EOS REBEL SL1,Gonzalo Bravo/Maria Bagur,good,two,25x25cm,no,Costa Patagonica
IMG_9842_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,horizontal,no,45,-44.80014444,-65.70069501,4.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
IMG_9843.jpg,2022-10-12,Isla de los Estados,Isla de los Estados,Hoppner II,horizontal,no,45,-54.77282247,-64.41245843,6,Canon EOS REBEL SL1,Gonzalo Bravo/Maria Bagur,good,two,25x25cm,no,Costa Patagonica
IMG_9843_patagonia.jpg,2021-03-26,Golfo San Jorge,Camarones,Camarones II,horizontal,no,45,-44.80014861,-65.70069926,4.5,Canon EOS REBEL SL1,Gonzalo Bravo,good,two,25x25cm,yes,Costa Patagonica
