ISO 8601 Time,Temperature (C)
2021-10-17T12:06:09.000,11.6039
2021-10-17T12:16:09.000,11.6165
2021-10-17T12:26:09.000,11.6306
2021-10-17T12:36:09.000,11.6475
2021-10-17T12:46:09.000,11.6644
2021-10-17T12:56:09.000,11.6925
2021-10-17T13:06:09.000,11.6939
2021-10-17T13:16:09.000,11.6827
2021-10-17T13:26:09.000,11.6700
2021-10-17T13:36:09.000,11.6559
2021-10-17T13:46:09.000,11.6433
2021-10-17T13:56:09.000,11.6419
2021-10-17T14:06:09.000,11.7052
2021-10-17T14:16:09.000,11.6461
2021-10-17T14:26:09.000,11.6362
2021-10-17T14:36:09.000,11.6292
2021-10-17T14:46:09.000,11.6306
2021-10-17T14:56:09.000,11.6320
2021-10-17T15:06:09.000,11.6320
2021-10-17T15:16:09.000,11.6334
2021-10-17T15:26:09.000,11.6348
2021-10-17T15:36:09.000,11.6362
2021-10-17T15:46:09.000,11.6419
2021-10-17T15:56:09.000,11.6503
2021-10-17T16:06:09.000,11.6489
2021-10-17T16:16:09.000,11.6517
2021-10-17T16:26:09.000,11.6517
2021-10-17T16:36:09.000,11.6503
2021-10-17T16:46:09.000,11.6503
2021-10-17T16:56:09.000,11.6588
2021-10-17T17:06:09.000,11.6588
2021-10-17T17:16:09.000,11.6686
2021-10-17T17:26:09.000,11.6686
2021-10-17T17:36:09.000,11.6757
2021-10-17T17:46:09.000,11.6700
2021-10-17T17:56:09.000,11.6813
2021-10-17T18:06:09.000,11.7333
2021-10-17T18:16:09.000,11.7235
2021-10-17T18:26:09.000,11.7235
2021-10-17T18:36:09.000,11.7249
2021-10-17T18:46:09.000,11.8051
2021-10-17T18:56:09.000,11.8514
2021-10-17T19:06:09.000,11.8711
2021-10-17T19:16:09.000,11.8824
2021-10-17T19:26:09.000,11.9020
2021-10-17T19:36:09.000,11.9147
2021-10-17T19:46:09.000,11.8796
2021-10-17T19:56:09.000,11.8500
2021-10-17T20:06:09.000,11.7657
2021-10-17T20:16:09.000,11.7432
2021-10-17T20:26:09.000,11.7151
