FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40e5,912341873,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG3,PNU,-42.62,-64.28,11/04/2012,12,RLS,10,12:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,0,1,,POINT (-64.27999877929688 -42.619998931884766)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40e6,912341874,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG4,Colombo,-42.63,-64.24,11/04/2012,18,RLS,8,14:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,1,0.1908,POINT (-64.23999786376953 -42.630001068115234)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40e7,912341874,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG4,Colombo,-42.63,-64.24,11/04/2012,18,RLS,8,14:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,0,5,,POINT (-64.23999786376953 -42.630001068115234)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40e8,912341875,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG5,Wreck Mirralles,-42.77,-64.97,12/04/2012,18,RLS,8,10:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,5,0.9538,POINT (-64.97000122070312 -42.77000045776367)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40e9,912341875,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG5,Wreck Mirralles,-42.77,-64.97,12/04/2012,18,RLS,8,10:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,12,2.2891,POINT (-64.97000122070312 -42.77000045776367)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40ea,912341876,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG6,Punta Este,-42.78,-64.95,12/04/2012,10,RLS,9,12:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,15,2.8614,POINT (-64.94999694824219 -42.779998779296875)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40eb,912341876,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG6,Punta Este,-42.78,-64.95,12/04/2012,10,RLS,9,12:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,18,3.4337,POINT (-64.94999694824219 -42.779998779296875)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40ec,912341877,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG6,Punta Este,-42.78,-64.95,12/04/2012,10.1,RLS,9,12:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,45,8.5841,POINT (-64.94999694824219 -42.779998779296875)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40ed,912341877,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG6,Punta Este,-42.78,-64.95,12/04/2012,10.1,RLS,9,12:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,19,3.6244,POINT (-64.94999694824219 -42.779998779296875)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40ee,912341877,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG6,Punta Este,-42.78,-64.95,12/04/2012,10.1,RLS,9,12:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,5,11,17.8673,POINT (-64.94999694824219 -42.779998779296875)
