timestamp,Puerto Madryn Temperature [2 m elevation corrected],Puerto Pirámides Temperature [2 m elevation corrected],Puerto Madryn Growing Degree Days [2 m elevation corrected],Puerto Pirámides Growing Degree Days [2 m elevation corrected],Puerto Madryn Temperature [1000 mb],Puerto Pirámides Temperature [1000 mb],Puerto Madryn Temperature [850 mb],Puerto Pirámides Temperature [850 mb],Puerto Madryn Temperature [700 mb],Puerto Pirámides Temperature [700 mb],Puerto Madryn Sunshine Duration,Puerto Pirámides Sunshine Duration,Puerto Madryn Shortwave Radiation,Puerto Pirámides Shortwave Radiation,Puerto Madryn Direct Shortwave Radiation,Puerto Pirámides Direct Shortwave Radiation,Puerto Madryn Diffuse Shortwave Radiation,Puerto Pirámides Diffuse Shortwave Radiation
20180803T2000,8.352914,10.12457,0.0,0.005190412,11.57,12.18,-0.33,-0.1,-7.33,-7.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180803T2100,7.472914,9.54457,0.0,0.0,11.42,11.97,-0.49,-0.16,-7.37,-7.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180803T2200,6.092914,8.91457,0.0,0.0,11.01,11.78,-0.71,-0.23,-6.99,-7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180803T2300,4.782914,8.48457,0.0,0.0,10.65,11.6,-0.68,-0.41,-6.67,-6.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180804T0000,3.7229142,7.974569,0.0,0.0,10.53,11.3,-0.48,-0.58,-6.9,-6.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180804T0100,2.9229143,7.184569,0.0,0.0,10.57,11.01,-0.12,-0.59,-6.86,-6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180804T0200,2.2229142,6.404569,0.0,0.0,10.69,10.98,-0.1,-0.45,-6.73,-6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180804T0300,1.6029141,6.104569,0.0,0.0,10.83,11.13,0.04,-0.28,-7.08,-6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180804T0400,0.99291414,5.884569,0.0,0.0,10.66,11.1,0.35,-0.16,-8.1,-6.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180804T0500,0.41291413,5.694569,0.0,0.0,10.44,10.89,0.48,-0.2,-9.14,-6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180804T0600,0.48291412,5.704569,0.0,0.0,9.8,10.67,0.31,-0.27,-9.76,-7.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180804T0700,1.2829142,5.874569,0.0,0.0,7.86,10.34,0.06,-0.02,-8.83,-8.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180804T0800,3.1629143,5.224569,0.0,0.0,6.38,9.24,-0.5,0.1,-7.96,-7.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180804T0900,6.4129143,6.624569,0.0,0.0,7.4,8.76,2.79,1.5,-6.51,-7.65,11.574469,0.0,14.24,12.46,7.422483,6.7323775,6.817517,5.7276225
20180804T1000,9.672914,9.804569,0.0,0.0,8.9,9.34,3.97,3.18,-5.77,-6.87,0.0,2.5531912,141.51,121.93,76.849075,66.4543,64.66092,55.4757
20180804T1100,12.572914,11.424569,0.10720476,0.059357047,11.44,10.15,4.36,3.31,-5.39,-5.77,0.0,33.82979,260.77,289.25,148.40515,165.12842,112.364845,124.12159
20180804T1200,14.602914,12.384569,0.19178808,0.099357046,13.26,10.93,5.06,3.7,-5.28,-5.3,20.425533,17.872341,365.79,391.6,215.41673,231.20305,150.37328,160.39696
20180804T1300,15.892914,12.714569,0.24553807,0.11310705,14.52,11.07,5.22,4.42,-4.72,-4.86,41.48936,46.595745,449.44998,454.78998,270.17767,273.89932,179.27232,180.89066
20180804T1400,17.012915,13.12457,0.29220477,0.13019042,15.71,11.63,5.65,4.77,-4.12,-4.09,33.82979,57.89362,473.47998,480.6,286.42462,291.06238,187.05537,189.53764
20180804T1500,17.662914,13.674569,0.3192881,0.15310705,16.56,12.38,6.09,5.21,-4.01,-3.46,49.148937,58.659573,449.44998,453.9,269.6996,272.46808,179.75038,181.43193
20180804T1600,17.902914,14.264569,0.3292881,0.17769039,17.08,13.35,6.45,5.7,-4.19,-3.67,55.02128,60.0,380.91998,379.13998,223.54463,222.40231,157.37535,156.73767
20180804T1700,17.592915,14.03457,0.31637144,0.16810708,17.09,13.32,6.75,6.23,-4.29,-4.28,57.12766,59.61702,271.44998,262.55,153.69557,148.47214,117.75441,114.07784
20180804T1800,16.192915,12.674569,0.25803813,0.11144038,16.25,12.38,6.51,6.6,-4.46,-4.84,55.531918,59.808514,130.83,124.6,70.58504,67.08859,60.24496,57.511402
20180804T1900,14.4629135,11.0245695,0.18595473,0.042690396,14.52,10.6,5.95,6.67,-4.28,-5.44,0.0,21.279787,8.9,7.12,4.622071,3.6931572,4.277929,3.4268427
20180804T2000,12.982914,11.094569,0.12428808,0.04560705,13.13,11.13,5.92,6.36,-3.96,-5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180804T2100,12.202913,11.48457,0.09178805,0.061857063,12.11,11.71,5.9,6.19,-4.18,-5.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180804T2200,11.762914,11.634569,0.07345474,0.068107046,11.8,11.65,5.64,5.91,-4.56,-5.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180804T2300,11.062914,11.83457,0.04428808,0.07644042,11.02,11.8,5.57,5.71,-4.85,-5.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180805T0000,10.772914,11.174569,0.032204747,0.04894038,10.26,11.3,5.71,5.64,-4.69,-5.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180805T0100,10.842914,10.214569,0.0351214,0.008940379,10.55,10.35,5.57,5.67,-4.34,-5.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180805T0200,10.642914,9.804569,0.026788076,0.0,10.33,9.91,5.25,5.69,-4.78,-4.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180805T0300,10.782914,10.44457,0.032621425,0.018523732,10.64,10.44,5.1,5.43,-5.37,-4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180805T0400,10.4629135,10.12457,0.019288063,0.005190412,10.27,9.88,5.16,5.64,-5.49,-5.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180805T0500,10.982914,10.04457,0.04095475,0.001857082,10.96,9.72,4.07,5.35,-6.07,-6.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180805T0600,9.562914,9.974569,0.0,0.0,9.28,9.68,1.24,3.37,-5.1,-5.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180805T0700,9.622913,9.19457,0.0,0.0,9.31,8.9,0.43,1.57,-5.7,-5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180805T0800,9.242913,9.314569,0.0,0.0,8.97,8.94,0.0,0.24,-6.33,-5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180805T0900,9.922914,10.16457,0.0,0.006857077,9.95,11.32,2.28,3.5,-5.93,-5.75,0.0,0.0,3.56,10.68,0.48028374,10.141558,3.0797162,0.5384427
20180805T1000,11.032914,10.894569,0.04303809,0.037273724,9.94,10.3,1.57,2.83,-6.01,-5.3,0.0,0.0,76.54,74.76,48.019814,64.016464,28.520187,10.743541
20180805T1100,13.602914,11.344569,0.1501214,0.056023717,12.21,10.19,2.62,1.89,-5.91,-5.15,60.0,0.0,266.11,143.29,151.64154,87.31264,114.468445,55.97736
