Date.Hour,Datetime,month,year,hour,Date.Hour Windows format,Temp. ,SITE
07/04/2019 06:01:00 a.m.,07/04/2019,4,2019,06:01:00 a.m,43562.25069,16.36121465,Alero20m
07/04/2019 08:01:00 a.m.,07/04/2019,4,2019,08:01:00 a.m,43562.33403,16.36121465,Alero20m
07/04/2019 10:01:00 a.m.,07/04/2019,4,2019,10:01:00 a.m,43562.41736,16.36121465,Alero20m
07/04/2019 12:01:00 p.m.,07/04/2019,4,2019,12:01:00 p.m,43562.50069,16.36121465,Alero20m
07/04/2019 02:01:00 p.m.,07/04/2019,4,2019,02:01:00 p.m,43562.58403,16.48695191,Alero20m
07/04/2019 04:01:00 p.m.,07/04/2019,4,2019,04:01:00 p.m,43562.66736,16.48695191,Alero20m
07/04/2019 06:01:00 p.m.,07/04/2019,4,2019,06:01:00 p.m,43562.75069,16.36121465,Alero20m
07/04/2019 08:01:00 p.m.,07/04/2019,4,2019,08:01:00 p.m,43562.83403,16.36121465,Alero20m
07/04/2019 10:01:00 p.m.,07/04/2019,4,2019,10:01:00 p.m,43562.91736,16.36121465,Alero20m
08/04/2019 12:01:00 a.m.,08/04/2019,4,2019,12:01:00 a.m,43563.00069,16.36121465,Alero20m
08/04/2019 02:01:00 a.m.,08/04/2019,4,2019,02:01:00 a.m,43563.08403,16.36121465,Alero20m
08/04/2019 04:01:00 a.m.,08/04/2019,4,2019,04:01:00 a.m,43563.16736,16.36121465,Alero20m
08/04/2019 06:01:00 a.m.,08/04/2019,4,2019,06:01:00 a.m,43563.25069,16.36121465,Alero20m
08/04/2019 08:01:00 a.m.,08/04/2019,4,2019,08:01:00 a.m,43563.33403,16.2354758,Alero20m
08/04/2019 10:01:00 a.m.,08/04/2019,4,2019,10:01:00 a.m,43563.41736,16.36121465,Alero20m
08/04/2019 12:01:00 p.m.,08/04/2019,4,2019,12:01:00 p.m,43563.50069,16.36121465,Alero20m
08/04/2019 02:01:00 p.m.,08/04/2019,4,2019,02:01:00 p.m,43563.58403,16.36121465,Alero20m
08/04/2019 04:01:00 p.m.,08/04/2019,4,2019,04:01:00 p.m,43563.66736,16.36121465,Alero20m
08/04/2019 06:01:00 p.m.,08/04/2019,4,2019,06:01:00 p.m,43563.75069,16.36121465,Alero20m
08/04/2019 08:01:00 p.m.,08/04/2019,4,2019,08:01:00 p.m,43563.83403,16.36121465,Alero20m
08/04/2019 10:01:00 p.m.,08/04/2019,4,2019,10:01:00 p.m,43563.91736,16.36121465,Alero20m
09/04/2019 12:01:00 a.m.,09/04/2019,4,2019,12:01:00 a.m,43564.00069,16.36121465,Alero20m
09/04/2019 02:01:00 a.m.,09/04/2019,4,2019,02:01:00 a.m,43564.08403,16.48695191,Alero20m
09/04/2019 04:01:00 a.m.,09/04/2019,4,2019,04:01:00 a.m,43564.16736,16.48695191,Alero20m
09/04/2019 06:01:00 a.m.,09/04/2019,4,2019,06:01:00 a.m,43564.25069,16.36121465,Alero20m
09/04/2019 08:01:00 a.m.,09/04/2019,4,2019,08:01:00 a.m,43564.33403,16.36121465,Alero20m
09/04/2019 10:01:00 a.m.,09/04/2019,4,2019,10:01:00 a.m,43564.41736,16.36121465,Alero20m
09/04/2019 12:01:00 p.m.,09/04/2019,4,2019,12:01:00 p.m,43564.50069,16.36121465,Alero20m
09/04/2019 02:01:00 p.m.,09/04/2019,4,2019,02:01:00 p.m,43564.58403,16.36121465,Alero20m
09/04/2019 04:01:00 p.m.,09/04/2019,4,2019,04:01:00 p.m,43564.66736,16.48695191,Alero20m
09/04/2019 06:01:00 p.m.,09/04/2019,4,2019,06:01:00 p.m,43564.75069,16.36121465,Alero20m
09/04/2019 08:01:00 p.m.,09/04/2019,4,2019,08:01:00 p.m,43564.83403,16.36121465,Alero20m
09/04/2019 10:01:00 p.m.,09/04/2019,4,2019,10:01:00 p.m,43564.91736,16.36121465,Alero20m
10/04/2019 12:01:00 a.m.,10/04/2019,4,2019,12:01:00 a.m,43565.00069,16.36121465,Alero20m
10/04/2019 02:01:00 a.m.,10/04/2019,4,2019,02:01:00 a.m,43565.08403,16.36121465,Alero20m
10/04/2019 04:01:00 a.m.,10/04/2019,4,2019,04:01:00 a.m,43565.16736,16.48695191,Alero20m
10/04/2019 06:01:00 a.m.,10/04/2019,4,2019,06:01:00 a.m,43565.25069,16.48695191,Alero20m
10/04/2019 08:01:00 a.m.,10/04/2019,4,2019,08:01:00 a.m,43565.33403,16.48695191,Alero20m
10/04/2019 10:01:00 a.m.,10/04/2019,4,2019,10:01:00 a.m,43565.41736,16.36121465,Alero20m
10/04/2019 12:01:00 p.m.,10/04/2019,4,2019,12:01:00 p.m,43565.50069,16.48695191,Alero20m
10/04/2019 02:01:00 p.m.,10/04/2019,4,2019,02:01:00 p.m,43565.58403,16.36121465,Alero20m
10/04/2019 04:01:00 p.m.,10/04/2019,4,2019,04:01:00 p.m,43565.66736,16.36121465,Alero20m
