Name,Date,region,site,reef name,reef area,understory,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Annotation status,Annotation area,Ascidiella aspersa,Aulacomya atra,Anthothoe chilensis,Aplidium sp.,Austromegabalanus psittacus,Asterocarpa humilis,Corella eumyota,Aequipecten tehuelchus,Magellania venosa,Bryozoan,Corynactis carnea,Ciona intestinalis,Colonial tunicate,Ciona robusta,Rock boring bivalves,Diplosoma listerianum,Halcurias sp.,Hydrozoan,Lissoclinum fragile,Metridium senile,Myxicola,Paramolgula gregaria,Parabunodactis imperfecta,Clathria sp.,Cliona sp.,Sponge: Encrusting,Sponge: Masive,Sponge: Repent,Darwinella cf. rosacea,Tripalea clavaria,Terebellidae,Sponge: Tubular,Worms: Polychaetes: Tube worms,Sponge: massive violet,Bare Substrate,brown encrusting algae,Crustose coralline algae,Codium vermilara/fragile,Corallina officinalis (substratum),Colpomenia sinuosa,Dictyota dichotoma,Macroalgae: Filamentous,Lomentaria clavellosa,Hymenena/Phycodrys ,Ulva sp.,Juvenile Undaria pinnatifida,Sponge: Calcareous
IMG_5145 00033.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),vertical,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,6.93,0,0.99,0,0.99,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0,11.88,0,15.84,0,0,0,0,55.44,0,2.97,0,0,0
IMG_5146 00034.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),overhang,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,65,0,0,0,7,0,8,0,0,0,0,0,0,0,0,7,2,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
IMG_5147 00035.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),cavefloor,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,1,1,0,21,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,61,0,0,0,0,0,0,10,0,0,0,0,0
IMG_5148 00036.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),cavefloor,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,1.98,0,0,0,0,0,0,0,0,2.97,0.99,0,18.81,0,0,0,0,0,2.97,0,0,0,0,0,0,0,5.94,0,0,0,0,0,0,0,36.63,0,0,0,0,0,0,27.72,0,0,0,0,0
IMG_5149 00037.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),overhang,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,3.92,0,0,0,0,0,0,0,1.96,42.14,0,0.98,0,7.84,0,18.62,0,0,0,0,0,0,0,0,12.74,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_5150 00038.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),vertical,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,4,0,0,0,0,0,0,0,0,25,0,0,0,2,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,40,0,7,0,0,0
IMG_5151 00039.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),horizontal,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.74,0,25.48,0,0,0,0,55.86,0,0,0,0,0
IMG_5152 00040.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),horizontal,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66,0,11.76,0,0,0,6.86,39.2,0,0,18.62,0,0
IMG_5153 00041.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),vertical,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,14.85,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,13.86,0,35.64,0,0,0,0,28.71,0,0,0,0,0
IMG_5154 00042.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),overhang,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,1.98,58.41,0,0,0,8.91,0,10.89,0,0,0,0,0,0,0,0,7.92,3.96,0,0,0,0,4.95,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0
IMG_5155 00043.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),cavefloor,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,2,0,6,80,0,0,0,0,0,0,0,0,0,0,0,0
IMG_5156 00044.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),cavefloor,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,0.99,0,6.93,0,0,0,0,0,0,0,0,0,0,0,0,0,13.86,0,0,0,0,0,0.99,0,56.43,0,0.99,0,0,0,0,17.82,0,0,0,0,0
IMG_5157 00045.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),overhang,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,8,0,0,0,3,0,0,0,1,45,0,0,0,7,0,22,0,0,0,0,0,0,2,0,3,5,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IMG_5158 00046.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),vertical,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,35,0,0,0,1,0,0,1,0,0,0,0,0,8,0,3,0,0,0,0,0,7,0,0,3,0,1,0,0,0,0,41,0,0,0,0,0
IMG_5159 00047.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),horizontal,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,86,0,0,0,0,0
IMG_5160 00048.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),horizontal,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,98,0,0,0,0,0
IMG_5161 00049.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),vertical,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,27,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,59,0,1,0,0,0
IMG_5162 00050.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),overhang,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,6,15,0,0,0,0,0,0,0,35,0,0,0,6,0,5,0,0,0,0,0,0,0,0,14,12,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
IMG_5163 00051.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),cavefloor,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0.99,0.99,0,6.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.1,0,0,0,0,0,0,0,0,0,0,0,0
IMG_5164 00052.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),cavefloor,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,0.96,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,1.92,0,70.08,0,0,0,0,0,0,17.28,0,0,0,0,0
IMG_5165 00053.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),overhang,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,3,0,0,0,0,0,0,0,1,34,0,1,0,10,0,23,0,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
